key_DO_NOT_MODIFY;fr;en;es;ab;cn;ru;am;bg;br;cz;de;et;fa;fi;hb;it;jp;ko;mg;nl;pl;ro;sb;sk;sl;sw;uk
n2h;Calculer le pas de la grille à partir de sa taille;Compute grid step from grid size;Calcular el paso de la cuadrícula a partir de su tamaño;حساب خطوة الشبكة من حجم الشبكة;由网格大小推算网格步长;Вычислите шаг сетки из размера сетки;Հաշվարկեք ցանցի քայլը ցանցի չափից;Изчислете стъпката на рейката от размера на рейката;Calcular o intervalo da grade a partir do tamanho da grade;Vypočítat krok mřížky z velikosti mřížky;Berechnung der Rasterauflösung mittels seiner Zellengröße;Arvuta võre astme suurus võre suurusest;محاسبه فاصله شبکه از روی اندازه شبکه;Lasketaan ruudukon askel ruudukon koosta;חישוב צעד רשת מגודל רשת;Calcola il passo della griglia a partire dalla dimensione della griglia;グリッド サイズからグリッド ステップを計算する;그리드 크기에서 그리드 단계 계산;Rácslépés kiszámítása a rácsméretből;Bereken rasterstap uit rasterstap;Obliczyć krok siatki z wielkości siatki;Calculați pasul rețelei din dimensiunea acesteia;Израчунајте корак мреже из величине мреже;Výpočet kroku mriežky z veľkosti mriežky;Izračunaj velikost koraka iz velikosti mreže;Beräkna rutnätets steg från rutnätets storlek;Крок сітки обчислюється за розміром сітки
Ylog_on;Ylog:on;Ylog:on;Ylog:on;Ylog: تشغيل;日志：开启;Ylog:on;Ylog:on;Y log: включено;Ylog:on;Ylog: na;Ylog:ein;Ylog:on;Ylog: فعال;Ylog:on;Ylog:on;Ylog:on;Y軸にlogをとる;Ylog:켜짐;Ylog:on;Ylog:aan;Ylog:on;Ylog:on;Илог:он;Ylog:on;Ylog:on;Ylog:on;Ylog:on
Ylog_off;Ylog:off;Ylog:off;Ylog:off;Ylog: متوقف;日志：关闭;Ylog:off;Յլոգ:անջատված;Y log: изключено ;Ylog:off;Ylog: vypnuto;Ylog:aus;Ylog:off;Ylog:  غیرفعال;Ylog:off;Ylog:off;Ylog:off;Y軸にlogをとらない;Ylog:꺼짐;Ylog:off;Ylog:uit;Ylog:off;Ylog:off;Илог:офф;Ylog:off;Ylog:off;Ylog:off;Ylog:off
ApplyYlog;Appliquer une échelle logarithmique sur l'axe des ordonnées;Apply logarithmic scale on y-axis;Aplicar una escala logarítmica al eje Y;تطبيق المقياس اللوغاريتمي على المحور ص;将纵坐标轴设置成对数坐标轴;Применить логарифмический масштаб на оси y;Կիրառել լոգարիթմական սանդղակը y առանցքի վրա;Приложи логаритмична скала на ос Y;Aplicar uma escala logarítmica ao eixo y;Použijte logaritmickou stupnici na ose y;Wenden Sie eine logarithmische Skala auf der Y-Achse an;Logaritmilise skaala rakendamine y-teljel.;اعمال مقیاس لگاریتمی روی محور Y;Sovelletaan logaritmista asteikkoa y-akseliin.;החל סולם לוגריתמי על ציר ה-y;Applica una scala logaritmica all'asse y;Y軸にlogをとる;y축에 로그 스케일 적용;Logaritmikus skála alkalmazása az y-tengelyen;Pas logaritmische schaal toe op de y-as;Zastosuj skalę logarytmiczną na osi y;Aplicați o scară logaritmică pe axa y;Примените логаритамску скалу на и-осу;Použiť logaritmickú stupnicu na osi y;Uporabi logaritemsko skalo na osi y;Tillämpa logaritmisk skala på y-axeln.;Застосувати логарифмічний масштаб по осі Y
H;H [m];H [m];H [m];ح [م];H [m];H [м];H [մ];H [m];H [m];H [m];H [m];H [m];[m] H ;H [m];H [מ];H [m];H [m];H [m];H [m];H [m];H [m];H [m];Х [м];H [m];H [m];H [m];H [м]
uH;uH [m];uH [m];uH [m];اه [م];uH [m];uH [м];uH [մ];uH [m];uH [m];uH [m];uH [m];uH [m]; [m] uH ;uH [m];uH [מ];uH [m];uH [m];uH [m];uH [m];uH [m];uH [m];uH [m];уХ [м];uH [m];uH [m];uH [m];uH [м]
bH;bH [m];bH [m];bH [m];س [م];bH [m];bH [м];bH [մ];bH [m];bH [m];bH [m];bH [m];bH [m];[m] bH;bH [m];bH [מ];bH [m];bH [m];bH [m];bH [m];bH [m];bH [m];bH [m];бХ [м];bH [m];bH [m];bH [m];bH [м]
bHindx;bHindx [-];bHindx [-];bHindx [-];هندكس [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-]; bHindx  [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-];бХиндк [-];bHindx [-];bHindx [-];bHindx [-];bHindx [-]
uH;uH [m];uH [m];uH [m];اه [م];uH [m];uH [м];uH [մ];uH [m];uH [m];uH [m];uH [m];uH [m]; [m] uH ;uH [m];uH [מ];uH [m];uH [m];uH [m];uH [m];uH [m];uH [m];uH [m];уХ [м];uH [m];uH [m];uH [m];uH [м]
Q;Q [m3/s];Q [m3/s];Q [m3/s];س [م 3 / ث];Q [m3/s];Q [м3/с];Q [մ3/վրկ];Q [m3/s];P [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];К [м3/с];Q [m3/s];Q [m3/s];Q [m3/s];Q [м3/с]
uQ;uQ [%];uQ [%];uQ [%];uQ [٪];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];uQ [%];уК [%];uQ [%];uQ [%];uQ [%];uQ [%]
Remnant_Linear;Linéaire : sigma=g1+g2*Q;Linear: sigma=g1+g2*Q;Lineal: sigma=g1+g2*Q;الخطي: سيجما = g1 + g2 * Q;线性：sigma=g1+g2*Q;Линейный: сигма=g1+g2*Q;Գծային՝ sigma=g1+g2*Q;Линейна: sigma=g1+g2*Q;Linear: sigma=g1+g2*Q;Lineární: sigma=g1+g2*Q;Linear: sigma=g1+g2*Q;Lineaarne: sigma=g1+g2*Q;خطی: sigma=g1+g2*Q;Lineaarinen: sigma=g1+g2*Q;ליניארי: sigma=g1+g2*Q;Lineare: sigma=g1+g2*Q;線形: sigma=g1+g2*Q;선형: 시그마=g1+g2*Q;Lineáris: sigma=g1+g2*Q;Lineair: sigma=g1+g2*Q;Reszta liniowa: sigma=g1+g2*Q;Liniară: sigma=g1+g2*Q;Линеарно: сигма=г1+г2*К;Lineárne: sigma=g1+g2*Q;Linearno: sigma=g1+g2*Q;Linjär: sigma=g1+g2*Q;Лінійна: sigma=g1+g2*Q
Remnant_Proportional;Proportionnelle : sigma=g1*Q;Proportional: sigma=g1*Q;Proporcional: sigma=g1*Q;متناسب: سيجما = g1 * Q;成比例：sigma=g1*Q;Пропорциональный: сигма=g1*Q;Համամասնական՝ sigma=g1*Q;Пропорционална: sigma=g1*Q;Proporcional: sigma=g1*Q;Proporcionální: sigma=g1*Q;Proportional: sigma=g1*Q;Proportsionaalne: sigma=g1*Q;تناسبی: sigma=g1*Q;Suhteellinen: sigma=g1*Q;פרופורציונלי: sigma=g1*Q;Proporzionale: sigma=g1*Q;比例: sigma=g1*Q;비례: 시그마=g1*Q;Arányos: sigma=g1*Q;Proportioneel: sigma=g1*Q;Reszta proporcjonalna: sigma=g1*Q;Proporțională: sigma=g1*Q;Пропорционално: сигма=г1*К;Proporcionálne: sigma=g1*Q;Sorazmerno: sigma=g1*Q;Proportionell: sigma=g1*Q;Пропорційна: sigma=g1*Q
Remnant_Constant;Constante : sigma=g1;Constant: sigma=g1;Constante: sigma=g1;ثابت: سيجما = g1;常数：sigma=g1;Постоянная: сигма=g1;Հաստատուն՝ sigma=g1;Постоянна: sigma=g1;Constante: sigma=g1;Konstanta: sigma=g1;Konstant: sigma=g1;Konstantne: sigma=g1;ثابت: sigma=g1;Vakio: sigma=g1;קבוע: sigma=g1;Costante: sigma=g1;定数: sigma=g1;상수: 시그마=g1;Állandó: sigma=g1;Constant: sigma=g1;Reszta stała: sigma=g1;Constantă: sigma=g1;Константа: сигма=г1;Konštantná: sigma=g1;Konstantno: sigma=g1;Konstant: sigma=g1;Постійна: sigma=g1
MorePlot;Autres graphiques;More plots;Otros gráficos;المزيد من المؤامرات;更多图像;Дополнительные графики;Ավելի շատ սյուժեներ;Повече диаграми;Outros gráficos;Více grafů;Weitere Grafiken;Rohkem graafikuid;پلات های بیشتر;Lisää kuvaajia;עוד איורים;Altri grafici;その他のプロット;더 많은 플롯;További ábrák;Meer grafieken;Więcej wykresów;Alte grafice/diagrame;Више парцела;Ďalšie grafy;Več grafov;Fler diagram;Більше графіків
MorePlotTip;Ouvre une nouvelle fenêtre pour des graphiques avancés;Open a new window for more advanced plots;Abre una nueva ventana para gráficos avanzados;افتح نافذة جديدة لمزيد من المؤامرات المتقدمة;创建新窗口显示更多图像;Откройте новое окно для просмотра более подробных графиков;Բացեք նոր պատուհան ավելի առաջադեմ սյուժեների համար;Отвори нов прозорец за подробни диаграми;Abre uma nova janela para gráficos avançados;Pro pokročilejší grafy otevřete nové okno;Öffnet ein neues Fenster für erweiterte Grafiken;Avage uus aken edasijõudnute graafikute jaoks;بازکردن  پنجره جدید برای پلات های پیشرفته تر;Avaa uusi ikkuna kehittyneempiä kuvaajia varten;פתח חלון חדש לאיורים מתקדמים יותר;Apri una nuova finestra per i grafici avanzati;より高度なプロット用に新しいウィンドウを開く;고급 플롯에 대한 새 창 열기;Új ablak megnyitása további ábrákhoz;Open een nieuw venster voor meer geavanceerde plots;Otwórz nowe okno, aby uzyskać bardziej zaawansowane wykresy;Deschideți o fereastră nouă pentru mai multe grafice/diagrame avansate;Отворите нови прозор за напредније цртеже;Otvoriť nové okno pre ďalšie pokročilé grafy;Odpri novo okno za naprednejše grafe;Öppna ett nytt fönster för mer avancerade diagram.;Відкрийте нове вікно для більш розширених графіків
TimeInYears;Temps [années];Time [years];Tiempo [años];الوقت [سنوات];时间 [年];Время [годы];Ժամանակը [տարիներ];Време [години];Tempo [anos];čas [roky];Zeit [Jahre];Aeg [aastat];زمان [سال];Aika [vuotta];זמן [שנים];Tempo [anni];時間 [年];시간 [년];Idő [év];Tijd [jaren];Czas [lata];Timp [ani];време [године];Čas [roky];Čas [leta];Tid [år];Час [роки]
Qunit;Q [m3/s];Q [m3/s];Q [m3/s];س [م 3 / ث];流量 [平方米/秒];Q [м3/с];Q [մ3/վրկ];Q [m3/s];P [m3/s];Q [m3/s];Q [m3/s];Q [m3/s]; [m3/s] Q;Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];Q [m3/s];К [м3/с];Q [m3/s];Q [m3/s];Q [m3/s];Q [м3/с]
Hunit;H [m];H [m];H [m];ح [م];水位 [米];H [м];H [մ];H [m];H [m];H [m];H [m];H [m]; [m] H ;H [m];H [מ];H [m];H [m];H [m];H [m];H [m];H [m];H [m];Х [м];H [m];H [m];H [m];H [м]
MCMCoptions;Options MCMC;MCMC options;Opciones MCMC;خيارات MCMC;MCMC 选项;Опции MCMC;MCMC ընտրանքներ;Опции на МСМС;Opções MCMC;Možnosti MCMC;MCMC-Optionen;MCMC valikud;گزینه های MCMC;MCMC-vaihtoehdot;אפשרויות MCMC;Opzioni MCMC;MCMC オプション;MCMC 옵션;MCMC opciók;MCMC-opties;Opcje MCMC;Opțiuni MCMC;МЦМЦ опције;Možnosti MCMC;Možnosti MCMC;MCMC-alternativ;Параметри MCMC
RoughnessCoefficient;Coefficient de frottement;Roughness coefficient;Coeficiente de fricción;معامل الخشونة;糙度;Коэффициент шероховатости;Կոշտության գործակիցը;Коефициент на грапавина;Coeficiente de fricção;Koeficient drsnosti;Reibungskoeffizient;Kareduse koefitsient;ضریب زبری;Karkeuskerroin;מקדם חספוס;Coefficiente di attrito;粗さの係数;조도계수;Durvasági együttható;Ruwheidscoëfficiënt;Współczynnik szorstkości;Coeficientul de rugozitate;Коефицијент храпавости;Koeficient drsnosti;Koeficient hrapavosti;Grovhetskoefficient;Коефіцієнт шорсткості
SaveHydroSpag;Sauvegarder les spaghetti d'hydrogrammes ?;Save hydrograph spaghetti?;¿Guardar los espaguetis de los hidrogramas?;حفظ الهيدروغراف السباغيتي؟;保存流量点线图;Сохранить спагетти гидрографа?;Պահե՞լ հիդրոգրաֆիկ սպագետտին:;Записване на хидрографи подход Спагети;Economizando hidrográficos de spaghetti?;Uložit hydrograph spaghetti?;Spaghetti-Hydrographen speichern?;Salvesta hüdrograafi spagetid?;اسپاگتی هیدروگراف ذخیره شود؟;Tallenna hydrografi spagetti?;לשמור  הידרוגרף ספגטי? ;Salva gli spaghetti degli idrogrammi?;水位流量関係のスパゲッティを保存しますか?;spagetti 수문곡선 저장 ?;Vízrajz spagetti mentése?;Hydrografische spaghetti opslaan?;Zapisać hydrogram spaghetti?;Salvați hidrografele de tip spaghetti?;Да сачувате хидрограф шпагете?;Uložiť hydrogram slíž?;Shrani snope hidrogramov?;Spara hydrografspaghetti?;Зберегти спагетті гідрографа?
CloseWarning;Etes-vous sûr de vouloir quitter BaRatinAGE ?;Are you sure you want to close BaRatinAGE?;¿Está seguro de que desea cerrar BaRatinAGE?;هل أنت متأكد أنك تريد إغلاق BaRatinAGE؟;您确定要关闭 BaRatinAGE 吗？;Вы уверены, что хотите закрыть BaRatinAGE?;Վստա՞հ եք, որ ցանկանում եք փակել BaRatinAGE-ը:;Сигурни ли сте, че искате на затворите BaRatinAGE?;Tem certeza que quer deixar a BaRatinAGE?;Opravdu chcete zavřít BaRatinAGE?;Sind Sie sicher, dass Sie BaRatinAGE verlassen wollen?;Kas olete kindel, et soovite BaRatinAGE sulgeda?;آیا مطمئن هستید که می خواهید BaRatinAGE را ببندید؟;Haluatko varmasti sulkea BaRatinAGEn?;האם אתה בטוח שברצונך לסגור את BaRatinAGE?;Sei sicuro di voler chiudere BaRatinAGE?;本当に BaRatinAGE を閉じますか?;정말 BaRatinAGE를 닫으시겠습니까?;Biztos, hogy be akarja zárni a BaRatinAGE-t?;Weet u zeker dat u BaRatinAGE wilt sluiten?;Czy na pewno chcesz zamknąć BaRatinAGE?;Sunteți sigur că doriți să închideți BaRatinAGE?;Да ли сте сигурни да желите да затворите БаРатинАГЕ?;Ste si istí, že chcete zavrieť BaRatinAGE?;Ali ste prepričani, da želite zapreti BaRatinAGE?;Är du säker på att du vill stänga BaRatinAGE?;Ви впевнені, що хочете закрити BaRatinAGE?
ConfirmContinue;Voulez-vous continuer ?;Do you wish to continue?;¿Desea continuar?;هل ترغب في الاستمرار؟;您想要继续吗？;Вы хотите продолжить?;Ցանկանու՞մ եք շարունակել։;Искате ли да продължите?;Deseja continuar?;Přejete si pokračovat?;Möchten Sie fortfahren?;Kas soovite jätkata?;آیا می خواهید ادامه دهید؟;Haluatko jatkaa?;האם אתה מקווה להמשיך?;Vuoi continuare?;続行しますか?;계속하시겠습니까?;Szeretné folytatni?;Wilt u doorgaan?;Czy chcesz kontynuować?;Doriți să continuați?;Да ли желите да наставите?;Chcete pokračovať?;Ali želite nadaljevati?;Vill du fortsätta?;Ви бажаєте продовжити?
OpenWarning;Attention : cette opération écrasera tous les objets existant dans BaRatinAGE;Warning: this operation will overwrite all current objects in BaRatinAGE.;Advertencia: esta operación sobrescribirá todos los objetos existentes en BaRatinAGE;تحذير: ستؤدي هذه العملية إلى الكتابة فوق كافة الكائنات الحالية في BaRatinAGE.;警告：此操作將覆盖 BaRatinAGE 中的所有当前对象。;Предупреждение: эта операция перезапишет все текущие объекты в BaRatinAGE.;Զգուշացում. այս գործողությունը կվերագրի բոլոր ընթացիկ օբյեկտները BaRatinAGE-ում:;Внимание: тази операция ще презапише всички текущи обекти в BaRatinAGE;Aviso: esta operação irá sobrescrever todos os objetos existentes na BaRatinAGE;Upozornění: tato operace přepíše všechny aktuální objekty v BaRatinAGE.;Achtung: Dieser Vorgang überschreibt alle in BaRatinAGE vorhandenen Objekte;Hoiatus: see toiming kirjutab üle kõik praegused objektid BaRatinAGE'is.;هشدار: این عملیات همه آیتم های فعلی در BaRatinAGE را بازنویسی می کند.;Varoitus: tämä toiminto korvaa kaikki BaRatinAGE:n nykyiset objektit.;אזהרה: פעולה זו תחליף את כל האובייקטים הנוכחיים ב-BaRatinAGE.;Attenzione: questa operazione sovrascriverà tutti gli oggetti esistenti in BaRatinAGE;警告: この操作は、BaRatinAGE 内の現在のすべてのオブジェクトを上書きします。;경고: 이 작업은 BaRatinAGE의 모든 현재 개체를 덮어씁니다.;Figyelmeztetés: ez a művelet felülírja a BaRatinAGE összes jelenlegi objektumát.;Waarschuwing: deze operatie overschrijft alle huidige objecten in BaRatinAGE.;Ostrzeżenie: ta operacja spowoduje nadpisanie wszystkich bieżących obiektów w BaRatinAGE.;Atenție: această operațiune va suprascrie toate obiectele curente din BaRatinAGE.;Упозорење: ова операција ће преписати све тренутне објекте у БаРатинАГЕ.;Upozornenie: Táto operácia prepíše všetky aktuálne objekty v BaRatinAGE.;Opozorilo: ta operacija bo prepisala vse trenutne objekte v BaRatinAGE.;Varning: Denna operation kommer att skriva över alla aktuella objekt i BaRatinAGE.;Попередження: ця операція перезапише всі поточні об'єкти в BaRatinAGE.
NewWarning;Attention : si vous n'avez pas sauvegardé l'étude en cours cette opération entrainera une perte de données;Warning: if you didn't save the current study this operation will result in a loss of data;Advertencia: si no guardó el estudio actual esta operación resultará en una pérdida de datos;تحذير: إذا لم تقم بحفظ الدراسة الحالية ، فستؤدي هذه العملية إلى فقد البيانات;警告：如果您没有保存当前项目，为保存的数据将会丢失;Внимание: если вы не сохранили текущее исследование, эта операция приведет к потере данных.;Զգուշացում. եթե դուք չեք պահել ընթացիկ ուսումնասիրությունը, այս գործողությունը կհանգեցնի տվյալների կորստի;Внимание: Ако не запишете текущото изчислуния тази операция ще доведе до загуба на данни;Cuidado: se não salvou o estudo atual a operação resultará em perda de dados;Upozornění: pokud jste neuložili aktuální studii, tato operace bude mít za následek ztrátu dat;Achtung: Wenn Sie die aktuelle Studie nicht gespeichert haben, führt dieser Vorgang zu einem Datenverlust.;Hoiatus: kui te ei salvestanud praegust uuringut, siis see toiming toob kaasa andmete kadumise;هشدار: اگر پروژه فعلی را ذخیره نکنید، این عمل منجر به از دست رفتن داده ها می شود;Varoitus: jos et ole tallentanut nykyistä tutkimusta, tämä toiminto johtaa tietojen häviämiseen.;אזהרה: אם לא שמרת את המחקר הנוכחי פעולה זו תגרום לאובדן נתונים;Attenzione: se non avete salvato lo studio attuale, questa operazione comporterà una perdita di dati;警告: 現在の作業内容を保存していない場合、この操作によりデータが失われます;경고: 현재 연구를 저장하지 않은 경우 이 작업으로 인해 데이터가 손실됩니다.;Figyelmeztetés: ha nem mentette el az aktuális tanulmányt, ez a művelet adatvesztést eredményez.;Waarschuwing: als u de huidige studie niet heeft opgeslagen zal deze operatie resulteren in een verlies van gegevens.;Ostrzeżenie: jeśli nie zapisałeś bieżącego badania ta operacja spowoduje utratę danych.;Atenție: dacă nu ați salvat studiul curent, această operațiune va duce la pierderea datelor!;Упозорење: ако нисте сачували тренутну студију, ова операција ће довести до губитка података;Upozornenie: Ak ste neuložili aktuálnu štúdiu, táto operácia bude mať za následok stratu údajov.;Opozorilo: če niste shranili trenutne študije, bo ta operacija povzročila izgubo podatkov.;Varning: Om du inte har sparat den aktuella studien kommer denna operation att leda till förlust av data.;Попередження: якщо ви не зберегли поточне дослідження, ця операція призведе до втрати даних
DeleteHydrauWarning;L'effacement de cette configuration hydraulique entraînera l'effacement des courbes de tarage et des hydrogrammes qui l'utilisent : confirmez-vous l'effacement ?;Deleting this hydraulic configuration will also remove all rating curves and flow series using it: do you wish to proceed?;Al borrar esta configuración hidráulica se eliminarán las curvas de gasto y los hidrogramas asociados: ¿desea continuar?;سيؤدي حذف هذا التكوين الهيدروليكي أيضًا إلى إزالة جميع منحنيات التصنيف وسلسلة التدفق باستخدامه: هل ترغب في المتابعة؟;删除此水力配置将会移除所有水位流量曲线和流量过程：您要继续吗？;Удаление этой гидравлической конфигурации приведет к удалению всех кривых и серий расхода использующих ее: хотите ли вы продолжить?;Այս հիդրավլիկ կոնֆիգուրացիան ջնջելու դեպքում կհեռացվեն նաև գնահատման բոլոր կորերը և դրա օգտագործմամբ հոսքի շարքերը: Ցանկանու՞մ եք շարունակել:;Изтриването на текущата хидравлична конфигурация ще премахне всички свързани с нея ключови криви и водни стожи/количества! Желаете ли да продължите?;A exclusão desta configuração hidráulica eliminará as curvas chaves e os hidrogramas que a utilizam: Confirmar exclusão?;Odstraněním této hydraulické konfigurace odstraníte také všechny měrné křivky a řady průtoků, které ji používají: chcete pokračovat?;Das Löschen dieser hydraulischen Konfiguration führt zum Löschen der Abflusskurven und der Ganglinien, die die Konfiguration verwenden: Trotzdem Löschen?;Selle hüdraulilise konfiguratsiooni kustutamine eemaldab ka kõik seda kasutavad arvestuskõverad ja voolusarjad: kas soovite jätkata?;با حذف پیکربندی هیدرولیک، تمام منحنی‌های سنجه و سری‌های جریان بکار برده شده، حذف می‌شوند: آیا می‌خواهید ادامه دهید؟;Tämän hydraulisen konfiguraation poistaminen poistaa myös kaikki sitä käyttävät purkautumiskäyrät ja virtaamasarjat: haluatko jatkaa?;מחיקת תצורה הידראולית זו תסיר גם את כל עקומות הדירוג וסדרות הזרימה באמצעותה: האם ברצונך להמשיך?;La cancellazione di questa configurazione idraulica comporterà la cancellazione delle scale di deflusso e degli idrogrammi che la utilizzano: confermi la cancellazione?;この水理学的条件を削除すると、それを使用しているすべての水位流量曲線とハイドログラフも削除されます: 続行しますか?;이 수리 조건을 삭제하면 이를 사용하는 모든 수위유량곡선과 유량 계열도 제거됩니다. 계속하시겠습니까?;Ennek a hidraulikai konfigurációnak a törlése az azt használó összes vízhozamgörbét és vízhozam sorozatot is eltávolítja: kívánja folytatni?;Het verwijderen van deze hydraulische configuratie verwijdert ook alle meetcurves en debietreeksen die er gebruik van maken: wilt u doorgaan?;Usunięcie tej konfiguracji hydraulicznej spowoduje również usunięcie wszystkich krzywych przepływu i hydrogramów przepływów wykorzystujących ją: czy chcesz kontynuować?;Ștergerea acestei configurații hidraulice va elimina și toate cheile limnimetrice și hidrografele de debite aferente;Брисање ове хидрауличке конфигурације ће такође уклонити све криве и серије протока које је користе: да ли желите да наставите?;Vymazanie tejto hydraulickej konfigurácie odstráni aj všetky merné krivky a rady prietokov, ktoré ju používajú: Chcete pokračovať?;Z brisanjem hidravličnih nastavitev bodo odstranjene tudi vse pretočne krivulje in iz njih izvedeni pretoki: Ali želite nadaljevati?;Om du raderar denna hydrauliska konfiguration kommer även alla värderingskurvor och flödesserier som använder den att raderas: vill du fortsätta?;Видалення цієї гідравлічної конфігурації також видалить всі номінальні криві і серії потоків, що використовують її: Ви бажаєте продовжити?
DeleteGaugingsWarning;L'effacement de ce jeu de jaugeages entraînera l'effacement des courbes de tarage et des hydrogrammes qui l'utilisent : confirmez-vous l'effacement ?;Deleting this gauging set will also remove all rating curves and flow series using it: do you wish to proceed?;Al borrar este conjunto de aforos se eliminarán las curvas de gasto y los hidrogramas asociados: ¿desea continuar?;سيؤدي حذف مجموعة القياس هذه أيضًا إلى إزالة جميع منحنيات التصنيف وسلسلة التدفق التي تستخدمها: هل ترغب في المتابعة؟;删除此测量序列将会移除所有流量序列：您要继续吗？;Удаление этого набора датчиков приведет к удалению всех кривых и серий расхода, использующих его:хотите ли вы продолжить?;Այս չափիչ հավաքածուն ջնջելու դեպքում կհեռացվեն նաև գնահատման բոլոր կորերը և դրա օգտագործմամբ հոսքի շարքերը: Ցանկանու՞մ եք շարունակել:;Изтриването на текущите характеристики на водомерния пост ще премахне всички свързани с него ключови криви и водни стоежи/количества! Желаете ли да продължите?;A exclusão deste conjunto de medições eliminará as curvas chaves e os hidrogramas que os utilizam: Confirmar exclusão?;Smazáním této sady měření odstraníte také všechny měrné křivky a řady průtoků, které ji používají: chcete pokračovat?;Das Löschen dieses Messwertsatzes führt zum Löschen der Abflusskurven und der Ganglinien, die den Datensatz verwenden: Trotzdem löschen?;Selle mõõtekomplekti kustutamine eemaldab ka kõik seda kasutavad arvestuskõverad ja voolusarjad: kas soovite jätkata?;با حذف مجموعه اندازه‌گیری ها (ایستگاه ها)، تمام منحنی‌های سنجه و سری‌های جریان بکار برده شده، حذف می‌شوند: آیا می‌خواهید ادامه دهید؟;Tämän mittausjoukon poistaminen poistaa myös kaikki sitä käyttävät purkautumiskäyrät ja virtaamasarjat: haluatko jatkaa?;מחיקת ערכת מדידה זו תסיר גם את כל עקומות הדירוג וסדרות הזרימה באמצעותה: האם ברצונך להמשיך?;La cancellazione di questo dataset di misure di portata comporterà la cancellazione delle scale di deflusso e degli idrogrammi che lo utilizzano: confermi la cancellazione?;このゲージ セットを削除すると、それを使用しているすべての水位流量曲線とハイドログラフも削除されます: 続行しますか?;이 관측 자료를 삭제하면 이를 사용하는 모든 수위유량곡선과 유량 계열도 제거됩니다. 계속하시겠습니까?;Ennek a mérőkészletnek a törlése az összes, azt használó vyzhozamgörbét és vízhozam sorozatot is eltávolítja: kívánja folytatni?;Als u deze meetreeks verwijdert, worden ook alle meetcurven en debietreeksen die er gebruik van maken verwijderd: wilt u doorgaan?;Usunięcie tego zestawu pomiarowego spowoduje również usunięcie wszystkich krzywych przepływu i hydrogramów przepływów z nim związanych: czy chcesz kontynuować?;Ștergerea acestui set de măsurători va elimina si toate cheile limnimetrice și hidrografele de debite care il utilizează: doriți să continuați?;Брисањем овог комплета за мерење ће се такође уклонити све криве оцењивања и серије протока које га користе: да ли желите да наставите?;Vymazanie tejto meracej súpravy odstráni aj všetky merné krivky a série prietokov, ktoré ju používajú: chcete pokračovať?;Z brisanjem podatkov meritev (vodostajev?) bodo odstranjeni iz njih izvedeni pretoki: Ali želite nadaljevati?;Om du raderar denna mätuppsättning kommer även alla kurvor och flödesserier som använder den att tas bort: vill du fortsätta?;Видалення цього вимірювального набору також видалить всі номінальні криві та серії потоків з його використанням: ви бажаєте продовжити?
